CreditUnion,Link,Rates(30Years),BestRate
Florida A&M University Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=DE826C6A-D89F-4863-A430-1D6D59245BB4,30 Year Fixed-5.125%|20 Year Fixed-5.000%|15 Year Fixed-4.500%|Jumbo 30 Year Fixed-6.250%|Jumbo 15 Year Fixed-6.625%,15 Year Fixed-4.500%
Fort Bragg Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=3DC48A2C-EFAC-4682-A32A-0728D269CFCD,5/5 Year ARM-4.875%|30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,5/5 Year ARM-4.875%
Freedom of Maryland Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=EBACE7AF-6F14-42A6-9FC1-D1380F6E9A80,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-5.250%
Front Royal Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C0391878-2D80-4F1E-B5F5-0A1B4AB5A663,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-4.750%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
Genesee Coop Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C2CF0F4D-7CFA-461D-9E0A-EBE80CC1C1BF,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Gold Coast Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=53189796-EE2D-444C-B4CD-F4D7D260102F,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Government Printing Office Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=2036C20B-8970-488B-9338-0B74ACC4122F,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Greater Niagara Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=70832813-9C0B-462F-8671-5CC63EF5A51C,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
GSA Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=7BAD6EAD-27D6-435F-9A65-2499780C5307,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Guardians Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=2074FB0B-A552-425C-B60D-FD52A36A6C82,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Guthrie Community Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=95D089B8-52B8-41AB-BC22-950DFC44112F,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-5.000%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
Hampton Roads Educators Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=24223EF5-90EE-4A4A-BFB4-64DC4518FDE5,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
HealthCare Associates Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F7B22BB1-FCBD-4A3D-A2C2-2BB655E300AC,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|10 Year Fixed-4.750%|10/1 Year ARM-6.000%,15 Year Fixed-4.750%
Healthcare Employees Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=3140EFB7-2704-4E63-BEAD-A9814BEA19FA,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Healthcare Systems Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=38D63B97-52A9-4E49-8BA2-F996D6593E5C,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15/15 ARM 1-4.750%|5/5 Year ARM-5.875%|Jumbo 30 Year Fixed-6.500%,15/15 ARM 1-4.750%
Henrico Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=E9EAF897-7A7E-4BD2-AFA4-B1A156A354FB,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
High Desert Community Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F28967C7-C10C-48D8-9FA5-06EE08A74275,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-5.000%|5/5 Year ARM-5.250%,15 Year Fixed-4.750%
Howard County Education Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=A7039C62-3DF5-4526-8399-5AC472FBCC88,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
HUD Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=5DC4A4D9-D04E-4346-AA7A-E1C9E552EFCD,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
InFirst Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=E656227A-7812-43D9-B2D6-E0E6CADCD9C5,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
IngersollRand Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=1811D9BF-694C-4ABA-8699-ADF35E81C7AB,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Interior Federal,https://mortgages.cumortgage.net/default.asp?siteId=54990627-321E-441F-991E-998E4B5E0F20,5/5 Year ARM-5.500%|30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%,15 Year Fixed-5.250%
Jackson River Community Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=4C1C9653-2775-4B8A-92A8-856945F0CC1B,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Jemez Valley Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=29CE38C6-B3EA-4BB4-8DC3-EAA8ECE5F932,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Kemba Roanoke Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F488BC1F-EBC0-4F58-A85F-9225873F164C,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Labor Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=15875CEF-86CC-4F7E-B2EC-9D673FEFBE90,5/5 Year ARM-6.250%|15/15 ARM 1-5.750%|30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%,20 Year Fixed-5.500%
Loudoun Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=6F5E5671-AB36-4147-A09E-A1093555709A,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Loyalty Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=1BC3909E-84A4-46D1-89CD-A54304B54E8A,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Market USA Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=01879C10-0545-4789-A202-5047D7C80742,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Medisys Employees Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=7DAB951A-023B-4EDD-AB49-8AA73A076A8C,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Molokai Community Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=34F7323B-47F2-4C76-A099-53B03959F11E,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Money One Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=2C84FE47-D3F6-4798-8242-4816A623F043,5/5 Year ARM-5.250%|7/1 Year ARM-5.250%|15/15 ARM 1-5.000%|30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%,15/15 ARM 1-5.000%
Muskogee Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=4C080000-4980-410C-95D1-924B5115D595,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
N A E Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=D7100A86-FCC8-446A-98CB-7083D90CA63C,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Newport News Municipal Employees Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=6D9D4484-3B15-46D7-A022-C30B1AA1D3A5,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
None Suffer Lack Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=D8CBDDEB-FE8A-4340-A9BF-E036392C2528,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Northeast Community Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=35F04DE2-9133-48DC-ABD5-30115BC5A009,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Northwest Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=CD9A9818-138F-407A-9A90-E2BF334120D3,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
O and R Utilities Employees Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=D03FF183-478E-4BDC-8DEF-15297C4D4FE0,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
OAS Staff Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=5DA92C31-BC4E-4DAB-A642-6B60E43B50C6,Jumbo 30 Year Fixed-6.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%|VA 30 Year Fixed-5.500%,15 Year Fixed-5.250%
OC Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=37306A41-2904-4293-BE93-1701CB35E441,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
PAHO/WHO Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=5CE2EB33-83D0-407A-943E-9CAB4C7AF575,15/15 ARM-6.125%|5/5 Year ARM-5.500%|30 Year Fixed-5.875%|20 Year Fixed-5.625%|15 Year Fixed-5.375%,15 Year Fixed-5.375%
Palisades Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=43EEEFD9-B486-41E3-BEC7-F111290993A3,5/1 Year ARM-5.500%|7/1 Year ARM-5.625%|30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%,5/1 Year ARM-5.500%
Patent and Trademark Office Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=8350C7CC-072E-400D-8487-91284F0CBF3F,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Patriot Equity Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C8EE794A-22C7-4B17-B5EE-DA29C50A9E5D,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Peake Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F239B9FA-C6FB-421E-9334-B7FE347A9B12,30 Year Fixed-5.750%|20 Year Fixed-5.625%|15 Year Fixed-5.125%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-7.000%,15 Year Fixed-5.125%
Peoples Advantage Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=B24AA3ED-41E6-4E52-9D0A-2B3445EEF982,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Piedmont Advantage Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=56DC8311-62E0-4D4B-93B5-F6B86DBE6058,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Police Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=76D2EB72-314B-4BB9-B498-0CD777CABF52,15/15 ARM 1-5.750%|30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%,15 Year Fixed-5.250%
